Theme	ParentTheme	Domain	Tags	RelatedThemes	Definition	Example
the greatest among us is the smallest in another world	views and customs	society			We are shown that the famous people we may admire and worship are only “great” on a very limited human scale. In the larger scheme of things none of us stands out all that much from the rest.	"Captain Kirk and his crew were harassed by an alien with unimaginable powers until its parents appeared in tos1x18 ""The Squire of Gothos""."
transcendental point of view	views and customs	society			We are shown what things might be like from the point of view of a being whose abilities are so far beyond us that they seem practically omnipotent, and who therefore is not limited by our own practical concerns.	
we're not so different after all	views and customs	society			We are shown that, when all is said and done, our similarities to each other by for outweigh the comparatively tiny differences.	"Upon finding evidence of a common proto-humanoid ancestor species, Humans, Klingons, Romulans and even Ferengi come to see that they are not as different as they once thought in tng6x20 ""The Chase""."
who is the aggressor	views and customs	society			We are shown that in armed conflict, it is often not at all clear who deserves to be labelled the aggressor in the larger view of things.	
arms race	war	society			Two rival factions each strive to improve to their arsenal of weaponry in order to outdo the other and gain an upper hand in the event of a war.	
arms trade	war	society			One faction sells weapons to another faction. To what extent is the seller responsible for the actions carried out with such weapons?	
atrocities of war	war	society			Atrocities, such as torture or the mass killing of civilians, are carried out during the course of a war.	
biological warfare	war	society			Biological weapons, i.e., man-made diseases, are used in warfare.	
civil war	war	society			A segment of a society takes up arms and violently demand independence or reshaping of government.	
covert military program	war	society			A secret military project is featured.	
false flag operation	war	society			A faction that wants to make war creates an incident and blames it on the enemy. The real warmongerers can then attack while falsely claiming that their targeted enemy started the hostilities.	"The Enterprise-D nearly destroyed a Lysian space station in revenge but then it turned out the whole situation had been orchestrated by the Sataarans in tng5x14 ""Conundrum""."
genocide	war	society			A whole nation or large ethnic group is killed en masse.	
imperialism	war	society			A faction systematically uses the military in order to subjugate their neighbours and expand their own power.	
orbital nuclear weapons platform	war	society			Nuclear weapons are strategically placed in space, in orbit around a planet, from where they can easily be deployed against any desired target.	"The Enterprise visited the 20th century and found that Earth was about to go down the path of self-obliteration by putting nukes in orbit in tos2x26 ""Assignment: Earth""."
prisoners of war	war	society			One faction takes members of another faction as prisoners during the course of a war. The treatment of such prisoners is wrought with potential problems and moral questions.	"It was unclear whether Captain Picard was technically a prisoner of war thus protected by a treaty against mistreatment in tng6x11 ""Chain of Command, Part II""."
relentless enemy	war	society			A people is threatened by an enemy who uncompromisingly wants them all dead and who will not be reasoned with.	
suicide bombing	war	society			Someone, who can typically be labelled a terrorist, blows themself up while trying to do damage to their perceived enemy at the same time.	
terrorism	war	society			Attacks are characterized as “terrorism” by others. There is no objective definition, but the attacks typically target civilians and the attacker is not a conventional military carrying out normal war operations.	
the horrors of war	war	society			The terrible impact war has on ordinary people is featured.	
transnational conflict over a claimed territory	war	society			Two or more sovereign factions fight over territory that they all claim as theirs.	
transnational conflict over a shared resource	war	society			Two or more sovereign factions fight over a resource that is not under the sole control of any one faction.	
